DateTime,Entries,UniqueIPs
1580073385,1020,1020
1580075323,1019,1019
1580077231,1018,1018
1580079416,1014,1014
1580081296,1014,1014
1580083428,1014,1014
1580085380,1014,1014
1580087303,1016,1016
1580089213,1016,1016
1580091147,1016,1016
1580093064,1016,1016
1580094978,1014,1014
1580096927,1016,1016
1580098840,1016,1016
1580100728,1015,1015
1580102655,1015,1015
1580104582,1014,1014
1580106494,1015,1015
1580108695,1015,1015
1580110576,1013,1013
1580112506,1010,1010
1580114423,1011,1011
1580116341,1012,1012
1580118272,1010,1010
1580122354,1011,1011
1580124256,874,874
1580126206,303,303
1580128096,92,92
1580134109,92,92
1580136062,90,90
1580140099,89,89
1580143936,88,88
1580145855,90,90
1580147788,89,89
1580149707,90,90
1580151927,88,88
1580153781,87,87
1580155725,89,89
1580157620,88,88
1580159564,86,86
1580161460,89,89
1580163405,92,92
1580165318,95,95
1580167221,96,96
1580169151,96,96
1580171058,93,93
1580172992,90,90
1580174894,90,90
1580177021,90,90
1580178971,88,88
1580181160,89,89
1580183055,87,87
1580184979,86,86
1580186916,88,88
1580188812,90,90
1580190730,91,91
1580192668,93,93
1580194624,90,90
1580196496,95,95
1580199612,98,98
1580201528,98,98
1580203465,101,101
1580205374,104,104
1580207289,104,104
1580210179,102,102
1580212108,106,106
1580214011,104,104
1580215935,104,104
1580217868,104,104
1580219777,104,104
1580221713,102,102
1580223815,101,101
1580225778,99,99
1580227730,98,98
1580229613,97,97
1580231563,97,97
1580233458,97,97
1580235407,97,97
1580237300,96,96
1580239233,98,98
1580241135,99,99
1580243057,100,100
1580245010,103,103
1580246930,102,102
1580249109,102,102
1580250978,101,101
1580252913,99,99
1580254815,97,97
1580260577,99,99
1580262493,100,100
1580264440,99,99
1580266349,99,99
1580268260,98,98
1580270200,98,98
1580272099,98,98
1580275221,94,94
1580277127,93,93
1580279050,92,92
1580280982,93,93
1580282911,91,91
1580286018,88,88
1580287946,87,87
1580289859,85,85
1580291782,83,83
1580293692,83,83
1580296824,80,80
1580298729,78,78
1580300653,78,78
1580302601,81,81
1580304488,80,80
1580306530,80,80
1580308340,81,81
1580311218,83,83
1580313130,86,86
1580315066,88,88
1580316994,86,86
1580318893,83,83
1580320992,82,82
1580322989,84,84
1580324895,84,84
1580326813,84,84
1580328747,87,87
1580330653,93,93
1580332580,95,95
1580334508,101,101
1580336410,102,102
1580338330,102,102
1580340265,100,100
1580344133,99,99
1580347208,94,94
1580351066,97,97
1580352968,95,95
1580354892,96,96
1580356862,96,96
1580358739,98,98
1580360715,98,98
1580362631,97,97
1580364515,96,96
1580366418,95,95
1580368349,91,91
1580370286,90,90
1580372183,88,88
1580374111,88,88
1580376025,89,89
1580377932,87,87
1580379868,88,88
1580381779,89,89
1580383698,90,90
1580385838,90,90
1580387774,91,91
1580389693,88,88
1580391627,87,87
1580393535,84,84
1580395478,82,82
1580397378,81,81
1580399312,80,80
1580401218,76,76
1580403131,78,78
1580405067,77,77
1580408908,76,76
1580411059,75,75
1580412987,72,72
1580414904,67,67
1580416836,66,66
1580418734,63,63
1580420670,56,56
1580422842,52,52
1580424734,50,50
1580426664,52,52
1580430543,55,55
1580434573,53,53
1580436756,54,54
1580438657,55,55
1580440602,55,55
1580442512,53,53
1580446331,53,53
1580448297,53,53
1580450173,54,54
1580456413,54,54
1580460278,54,54
1580462211,53,53
1580464094,54,54
1580466023,52,52
1580467938,51,51
1580469853,51,51
1580471784,51,51
1580476844,50,50
1580478753,51,51
1580480673,53,53
1580482583,56,56
1580484746,55,55
1580488710,54,54
1580490834,55,55
1580492906,56,56
1580494820,56,56
1580496758,58,58
1580498657,58,58
1580500592,59,59
1580502497,57,57
1580508528,56,56
1580510420,56,56
1580512341,55,55
1580514279,56,56
1580516177,53,53
1580518100,53,53
1580521944,50,50
1580523858,52,52
1580525788,51,51
1580531785,50,50
1580533692,56,56
1580535632,54,54
1580537570,53,53
1580543307,51,51
1580545222,50,50
1580549114,49,49
1580550986,47,47
1580552920,46,46
1580555016,46,46
1580556985,44,44
1580559163,43,43
1580561062,44,44
1580563238,45,45
1580565140,44,44
1580567082,44,44
1580568994,43,43
1580570897,42,42
1580573121,45,45
1580574977,48,48
1580578825,49,49
1580580882,50,50
1580582898,45,45
1580584859,44,44
1580586735,45,45
1580588673,48,48
1580592529,51,51
1580594651,50,50
1580596591,49,49
1580598502,49,49
1580600420,52,52
1580602390,54,54
1580604275,53,53
1580606178,54,54
1580610018,51,51
1580613867,56,56
1580617691,57,57
1580619828,53,53
1580621785,54,54
1580623710,53,53
1580625616,56,56
1580627551,57,57
1580629481,61,61
1580631380,65,65
1580633310,68,68
1580635211,68,68
1580637151,68,68
1580640973,68,68
1580642908,68,68
1580646014,69,69
1580647933,67,67
1580649866,69,69
1580651772,70,70
1580653946,71,71
1580656112,70,70
1580658017,72,72
1580659959,69,69
1580661859,65,65
1580664056,66,66
1580665938,65,65
1580667972,393,393
1580669790,1001,1001
1580671694,1003,1003
1580673804,1002,1002
1580675782,1001,1001
1580677722,998,998
1580679619,996,996
1580683464,1001,1001
1580685378,1000,1000
1580687298,996,996
1580689230,997,997
1580691135,998,998
1580693075,997,997
1580694978,1001,1001
1580699220,1006,1006
1580701225,1005,1005
1580703149,1006,1006
1580705055,1013,1013
1580708920,1013,1013
1580710826,1015,1015
1580712752,1016,1016
1580714668,1016,1016
1580716575,1015,1015
1580718495,1010,1010
1580720648,1013,1013
1580722594,1015,1015
1580724499,1014,1014
1580726425,1014,1014
1580728357,1012,1012
1580730259,1013,1013
1580732189,1016,1016
1580734116,1017,1017
1580736016,1016,1016
1580737937,1016,1016
1580739870,1015,1015
1580741798,1014,1014
1580743694,1013,1013
1580745894,1012,1012
1580749964,1008,1008
1580753780,855,855
1580755734,119,119
1580757618,73,73
1580759536,72,72
1580761477,69,69
1580765307,68,68
1580769393,66,66
1580771311,63,63
1580773217,65,65
1580775177,65,65
1580777061,63,63
1580778982,64,64
1580781028,63,63
1580782895,62,62
1580784842,58,58
1580786695,59,59
1580788603,61,61
1580790494,63,63
1580792697,57,57
1580794596,57,57
1580796509,56,56
1580798416,59,59
1580800466,58,58
1580802273,56,56
1580804176,57,57
1580806004,55,55
1580807846,51,51
1580809705,55,55
1580811643,56,56
1580813558,54,54
1580815466,53,53
